,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.8291403536609283,4.703628645623122,0.07417657789216504,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
1,1.970590790407781,5.161032812016333,0.0748990399718371,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
2,1.5757787597367392,4.957064056700708,0.054078829453147605,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
3,1.5271041300611108,5.068004147761232,0.0542611422244806,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
4,1.4662808817820614,4.826453057879852,0.06345837605648968,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
5,1.574509116421633,5.440799376270747,0.08904561119922624,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
6,1.732494417108082,4.896222984103426,0.08207044293094005,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
7,1.9098427585807964,4.553261377910667,0.1139540738707009,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
8,1.5642665017646609,5.506744040058377,0.10371029500305039,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
9,1.1342836930726237,5.226927853822219,0.06820614114665341,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
10,1.70099191987478,5.044122121474782,0.04813746445775197,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
11,1.3352066662448665,5.084667849594923,0.167682600870382,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
12,1.1047866201863596,5.488955517953932,0.1537339111584937,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
13,1.1475571433572649,4.913734120718816,0.12987115210897018,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
14,1.4378835478424432,5.394608070460311,0.08447597784564252,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
15,2.188468116475847,5.033957252681591,0.07478355086394463,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
16,2.037531417307035,4.914681411599487,0.06208800525344899,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
17,1.3724727247373139,5.102086181811013,0.0913479145521771,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
18,2.2272461615072094,4.585283064131918,0.06448512969345646,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
19,2.000110150387411,4.975606988008898,0.064655829757655,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
20,1.342787339559258,4.791441888220614,0.113296134775071,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
21,1.0040569266447321,5.1688296150379625,0.09619768377110502,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
22,1.4966845287222055,4.957221186908643,0.17228268257889334,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
23,1.889863916394286,4.7095729882096995,0.0473659771007387,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
24,1.5482762086751474,5.194608110220045,0.09265443374683607,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
25,1.7738461413567368,4.687864122497002,0.05669704167152785,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
26,1.0291033242868064,5.1755306279185636,0.15456391527924404,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
27,1.9424881245273298,5.209345982214384,0.06749203407336095,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
28,1.3606226877304564,5.244631106482512,0.11202892217181765,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
29,1.3156810198502036,5.531296725389129,0.12622674797802627,1.513938414618371,0.14657577826052295,10,27,18.657495498657227,50,50,784,0.pixels,6,MNIST_ConvNet,exemplar,in,0.9834,0.8748,0.05,0.05,1,False
