,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.2063763497797166,4.861572688552098,0.17024856825669607,7.0,1.148778071930918,0,1.0585945844650269,2,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.0964292058007263,3.8597638363632574,0.21282251916560585,2.0,1.148778071930918,0,1.0585945844650269,2,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1860595375902474,4.453444923095964,0.1376496114550848,7.0,1.193447800100388,0,1.0371507137568452,2,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.2009286862691737,3.3028016787914103,0.19890779795057126,2.0,1.193447800100388,0,1.0371507137568452,2,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1860595375902474,4.453444923095964,0.1376496114550848,7.0,1.193447800100388,0,1.0371507137568452,2,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.2009286862691737,3.3028016787914103,0.19890779795057126,2.0,1.193447800100388,0,1.0371507137568452,2,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,0.9939906092001305,3.759178375974259,0.16878467748488793,7.0,1.0920361184702074,0,1.0443449020385742,2,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.211540357496782,2.912946432882924,0.21161456992253788,2.0,1.0920361184702074,0,1.0443449020385742,2,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.4464181588895741,4.120741859033647,0.12091255091227761,7.0,1.4561018783750135,0,1.0270172357559204,2,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.4659161361429647,2.720604158722009,0.1779213190039512,2.0,1.4561018783750135,0,1.0270172357559204,2,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.24869845335427,4.173578576737528,0.1215451611014399,7.0,1.1374569811069721,0,1.0270172357559204,2,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.044414349727255,3.106206718102291,0.17336781362969408,2.0,1.1374569811069721,0,1.0270172357559204,2,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1122794780357874,3.698714100973704,0.1670319082988398,7.0,1.2465970229357617,0,1.0443449020385742,2,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.4178100793207442,2.8150007420156298,0.20507267280510183,2.0,1.2465970229357617,0,1.0443449020385742,2,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.9798599770807144,2.839605260339138,0.0669321245316401,7.0,1.7094442787550495,0,1.008278489112854,2,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.5040203062878186,2.319179134777101,0.14744745067857995,2.0,1.7094442787550495,0,1.008278489112854,2,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
