,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,features,projection_matrix,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.1160160724686046,5.30786760437362,0.1807968446939204,7.0,1.0737138047612336,0,1.06943678855896,2,50,784,0.pixels,0,"[[0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.         ... 0.         0.         0.        ]
 [0.1        0.1        0.1        ... 0.         0.1        0.1       ]
 ...
 [0.1        0.1        0.1        ... 0.         0.         0.        ]
 [0.1        0.1        0.1        ... 0.         0.         0.        ]
 [0.         0.         0.1        ... 0.         0.         0.09159847]]",[],lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.0345013298873496,4.310900951172303,0.243837118718026,0.0,1.0737138047612336,0,1.06943678855896,2,50,784,0.pixels,0,"[[0.         0.         0.         ... 0.         0.1        0.1       ]
 [0.         0.         0.         ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.1        ... 0.1        0.         0.1       ]
 ...
 [0.         0.         0.         ... 0.         0.06806032 0.        ]
 [0.         0.         0.         ... 0.03024615 0.         0.05880089]
 [0.1        0.1        0.1        ... 0.         0.         0.08329314]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1425409199504353,4.695795181290001,0.15739867127446852,7.0,1.1355646454037742,0,1.0484649521392,2,50,2000,1.conv1,0,"[[-0.17318648 -0.1927107  -0.08964374 ... -0.16656553 -0.14861854
  -0.16785131]
 [-0.24016342 -0.25406571 -0.23240823 ... -0.22977036 -0.25591639
  -0.24393083]
 [ 0.3069596   0.34443041  0.37343209 ...  0.32115418  0.32223751
   0.32623165]
 ...
 [ 0.42614071  0.42542399  0.46411407 ...  0.44070814  0.38514383
   0.38142256]
 [ 0.15531754  0.07285962  0.13884489 ...  0.10903937  0.14088601
   0.10959156]
 [ 0.02079185  0.02802884  0.01215507 ...  0.00896693  0.01875967
   0.04195073]]","[[ 0.02247727  0.00502088  0.01220682 ...  0.00201647 -0.01446583
  -0.01681553]
 [-0.01953223 -0.02148057  0.0005754  ... -0.00038911  0.01997886
  -0.01042563]
 [ 0.0078152   0.02313342  0.00338105 ... -0.00684595  0.00498423
   0.00367511]
 ...
 [-0.00607812  0.0003974   0.01461571 ... -0.00900044 -0.01193846
   0.01025451]
 [ 0.01562827 -0.01804891 -0.01949279 ... -0.00293428  0.00835007
   0.01173706]
 [-0.00111019 -0.00603748 -0.01107308 ...  0.0055095   0.00858332
  -0.00453584]]",lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.1286730471138642,3.331030810305158,0.24229349906745795,0.0,1.1355646454037742,0,1.0484649521392,2,50,2000,1.conv1,0,"[[-0.05555553 -0.06868062 -0.12378577 ... -0.10044177 -0.06866329
  -0.05930086]
 [ 0.13230672  0.10218397  0.14974213 ...  0.14441219  0.06458149
   0.16888909]
 [ 0.07816551  0.1180917   0.10137409 ...  0.02268104  0.0868016
   0.10787021]
 ...
 [ 0.28158756  0.29349286  0.28519591 ...  0.26610015  0.35873332
   0.29851154]
 [-0.34296049 -0.31916394 -0.38647479 ... -0.34315167 -0.37827585
  -0.36137672]
 [ 0.06163765  0.02872456  0.03833845 ... -0.01198679  0.0457357
   0.01560106]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1425409199504353,4.695795181290001,0.15739867127446852,7.0,1.1355646454037742,0,1.0484649521392,2,50,2000,2.norm,0,"[[-0.17318648 -0.1927107  -0.08964374 ... -0.16656553 -0.14861854
  -0.16785131]
 [-0.24016342 -0.25406571 -0.23240823 ... -0.22977036 -0.25591639
  -0.24393083]
 [ 0.3069596   0.34443041  0.37343209 ...  0.32115418  0.32223751
   0.32623165]
 ...
 [ 0.42614071  0.42542399  0.46411407 ...  0.44070814  0.38514383
   0.38142256]
 [ 0.15531754  0.07285962  0.13884489 ...  0.10903937  0.14088601
   0.10959156]
 [ 0.02079185  0.02802884  0.01215507 ...  0.00896693  0.01875967
   0.04195073]]","[[ 0.02247727  0.00502088  0.01220682 ...  0.00201647 -0.01446583
  -0.01681553]
 [-0.01953223 -0.02148057  0.0005754  ... -0.00038911  0.01997886
  -0.01042563]
 [ 0.0078152   0.02313342  0.00338105 ... -0.00684595  0.00498423
   0.00367511]
 ...
 [-0.00607812  0.0003974   0.01461571 ... -0.00900044 -0.01193846
   0.01025451]
 [ 0.01562827 -0.01804891 -0.01949279 ... -0.00293428  0.00835007
   0.01173706]
 [-0.00111019 -0.00603748 -0.01107308 ...  0.0055095   0.00858332
  -0.00453584]]",lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.1286730471138642,3.331030810305158,0.24229349906745795,0.0,1.1355646454037742,0,1.0484649521392,2,50,2000,2.norm,0,"[[-0.05555553 -0.06868062 -0.12378577 ... -0.10044177 -0.06866329
  -0.05930086]
 [ 0.13230672  0.10218397  0.14974213 ...  0.14441219  0.06458149
   0.16888909]
 [ 0.07816551  0.1180917   0.10137409 ...  0.02268104  0.0868016
   0.10787021]
 ...
 [ 0.28158756  0.29349286  0.28519591 ...  0.26610015  0.35873332
   0.29851154]
 [-0.34296049 -0.31916394 -0.38647479 ... -0.34315167 -0.37827585
  -0.36137672]
 [ 0.06163765  0.02872456  0.03833845 ... -0.01198679  0.0457357
   0.01560106]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.151852630471709,4.157507888660846,0.1877974544192433,7.0,1.1622040003201726,0,1.0560404062271118,2,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",[],lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.1727431068999667,3.040765220004944,0.25653472710476527,0.0,1.1622040003201726,0,1.0560404062271118,2,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.2965250604780636,4.1990586223832365,0.14037651529060857,7.0,1.2428872375448334,0,1.0329991579055786,2,50,2000,4.conv2,0,"[[-8.16660613e-05 -8.41284054e-05 -8.13670777e-05 ... -8.13397419e-05
  -8.09778139e-05 -8.18140543e-05]
 [-1.19302349e-04 -1.19592434e-04 -1.18688469e-04 ... -1.21468845e-04
  -1.20610108e-04 -1.24357175e-04]
 [-5.38691493e-05 -5.63921421e-05 -5.37969536e-05 ... -5.98459301e-05
  -5.66833878e-05 -6.33927702e-05]
 ...
 [-4.40444104e-18 -4.43406528e-18 -7.86785826e-18 ... -4.63391873e-18
  -4.16955939e-18 -4.47409420e-18]
 [-5.50735487e-18 -6.32738161e-18 -7.38793221e-18 ... -6.21717592e-18
  -7.03746984e-18 -7.54612554e-18]
 [-8.04826718e-18 -7.76762548e-18 -7.87354761e-18 ... -7.70489210e-18
  -7.85041385e-18 -7.74345361e-18]]",[],lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.1935111464135437,3.145219863546674,0.20363082888651307,0.0,1.2428872375448334,0,1.0329991579055786,2,50,2000,4.conv2,0,"[[-1.2958548e-05 -1.3617801e-05 -1.1981749e-05 ... -2.5487530e-05
  -2.0593385e-05 -2.8383402e-05]
 [-7.4710944e-05 -7.2385468e-05 -7.1086237e-05 ... -8.5773085e-05
  -6.6431967e-05 -7.7401302e-05]
 [-1.7644805e-04 -1.7840872e-04 -1.7840226e-04 ... -1.6874255e-04
  -1.7096475e-04 -1.7338019e-04]
 ...
 [-1.2122165e-17 -1.1581368e-17 -1.1490465e-17 ... -9.6658867e-18
  -9.5230367e-18 -9.7001320e-18]
 [-5.5543970e-18 -7.1319347e-18 -6.2773827e-18 ... -8.0443149e-18
  -8.8668550e-18 -9.1520553e-18]
 [-8.7828714e-18 -8.8295583e-18 -8.7071538e-18 ... -6.5747810e-18
  -8.9042825e-18 -5.1654344e-18]]",,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
