,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.2116196998842528,4.854017974771613,0.16703170975545814,7.0,1.1778189955647624,1,1.8946884870529175,3,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.2301162668890435,4.818225265692777,0.12969347550388047,2.0,1.1778189955647624,1,1.8946884870529175,3,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.1003425439623458,5.691355637702056,0.23961211767555354,1.0,1.1778189955647624,1,1.8946884870529175,3,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.187847784990613,4.452032851195009,0.13711261742917558,7.0,1.09150732064375,1,1.7818085103921584,3,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.483639226360026,3.9687834078207196,0.10474679444999654,2.0,1.09150732064375,1,1.7818085103921584,3,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,0.8112828183877002,4.849885824883836,0.22647959626860548,1.0,1.09150732064375,1,1.7818085103921584,3,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.187847784990613,4.452032851195009,0.13711261742917558,7.0,1.09150732064375,1,1.7818085103921584,3,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.483639226360026,3.9687834078207196,0.10474679444999654,2.0,1.09150732064375,1,1.7818085103921584,3,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,0.8112828183877002,4.849885824883836,0.22647959626860548,1.0,1.09150732064375,1,1.7818085103921584,3,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.2335316473282922,3.6575496372510177,0.16095976514190624,7.0,1.3259388490828634,1,1.8086180686950684,3,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.580627283246673,3.572277871883854,0.10268363983332265,2.0,1.3259388490828634,1,1.8086180686950684,3,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.2206925361548013,4.7540511158675685,0.19667916600459656,1.0,1.3259388490828634,1,1.8086180686950684,3,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.2527813462646127,4.172134587805072,0.12042664175974585,7.0,1.1254353396727468,1,1.7036539316177368,3,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.266035746837532,3.8610140269741686,0.0860152583842002,2.0,1.1254353396727468,1,1.7036539316177368,3,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,0.9280362232034423,4.636755172670385,0.22082807202934363,1.0,1.1254353396727468,1,1.7036539316177368,3,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.4663253933135705,3.7953232312488683,0.12370439541979102,7.0,1.296242995023024,1,1.7036539316177368,3,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.7273819360328424,3.5672360920944044,0.08874657678968238,2.0,1.296242995023024,1,1.7036539316177368,3,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,0.949222984597595,4.727753640242311,0.22282261761753971,1.0,1.296242995023024,1,1.7036539316177368,3,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1474592760558524,3.912220972309407,0.1569615169059718,7.0,1.354816661169035,1,1.8086180686950684,3,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.7628140642605965,3.2458292855264643,0.10461427198620818,2.0,1.354816661169035,1,1.8086180686950684,3,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.2893970032980726,4.622010201364146,0.20283661591325572,1.0,1.354816661169035,1,1.8086180686950684,3,50,2000,6.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.1585976500717534,2.9389320297382375,0.0636756518627459,7.0,1.3103636746113616,1,1.4886980056762695,3,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.2055041887502511,2.587178998181321,0.0710778373581412,2.0,1.3103636746113616,1,1.4886980056762695,3,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.675603439632305,3.0134760287760143,0.13978736255136948,1.0,1.3103636746113616,1,1.4886980056762695,3,50,10,7.linear,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
