,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.226165278805761,4.960813796262671,0.16049370553260586,7.0,1.2024747482405396,2,2.8763320446014404,4,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.2643212964755637,4.642571634820747,0.12309164868037938,2.0,1.2024747482405396,2,2.8763320446014404,4,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.2305836000603556,5.5615028099283075,0.20357637944739881,1.0,1.2024747482405396,2,2.8763320446014404,4,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.1020963484635502,4.311422469075055,0.19593992490318135,0.0,1.2024747482405396,2,2.8763320446014404,4,50,784,0.pixels,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.206141085600325,4.438019697312757,0.13167794099726438,7.0,1.1528745369026543,2,2.790138370746784,4,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.5009045645037769,3.9650157782765447,0.10103272473025032,2.0,1.1528745369026543,2,2.790138370746784,4,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,0.8775294450125388,4.7732618204052235,0.1954016085739189,1.0,1.1528745369026543,2,2.790138370746784,4,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.1980781234721223,3.2299082697151733,0.2105934251349515,0.0,1.1528745369026543,2,2.790138370746784,4,50,2000,1.conv1,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.206141085600325,4.438019697312757,0.13167794099726438,7.0,1.1528745369026543,2,2.790138370746784,4,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.5009045645037769,3.9650157782765447,0.10103272473025032,2.0,1.1528745369026543,2,2.790138370746784,4,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,0.8775294450125388,4.7732618204052235,0.1954016085739189,1.0,1.1528745369026543,2,2.790138370746784,4,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.1980781234721223,3.2299082697151733,0.2105934251349515,0.0,1.1528745369026543,2,2.790138370746784,4,50,2000,2.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.3280854626909933,3.947055397229614,0.15098119372051114,7.0,1.2226227927787108,2,2.823483467102051,4,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.6852950580124317,3.4472156181587152,0.10113306977865501,2.0,1.2226227927787108,2,2.823483467102051,4,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.073570196795473,5.189350373323677,0.16571913609167774,1.0,1.2226227927787108,2,2.823483467102051,4,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.0061859681362004,3.063878713112485,0.22159572706684086,0.0,1.2226227927787108,2,2.823483467102051,4,50,2000,3.relu,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.2275474943794804,4.177526868577823,0.11906845672382016,7.0,1.3219763403346307,2,2.6104092597961426,4,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.657569778445674,3.6221710110050993,0.08475256874730298,2.0,1.3219763403346307,2,2.6104092597961426,4,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.2866328615736906,4.856572212463678,0.17380582066189215,1.0,1.3219763403346307,2,2.6104092597961426,4,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
3,1.2039127406070895,2.748019699141544,0.17547556926150748,0.0,1.3219763403346307,2,2.6104092597961426,4,50,2000,4.conv2,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
0,1.2111610659874281,4.252636313283122,0.11847747298143595,7.0,1.3636579405217788,2,2.6104092597961426,4,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
1,1.8020085398326566,3.819736170760981,0.08290425160551229,2.0,1.3636579405217788,2,2.6104092597961426,4,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
2,1.361386304933321,4.265734086653637,0.1794182013408077,1.0,1.3636579405217788,2,2.6104092597961426,4,50,2000,5.norm,0,lenet,exemplar,nn,0.9701,1.0,0.1,0.1,1,False
