,cap,dim,rad,label,mean_cap,EVD90,PR,P,M,N,layer,seed,features,projection_matrix,model,manifold_type,norm_method,clean_accuracy,adv_accuracy,eps,eps_step,max_iter,random
0,1.1914005913592578,4.992004592739527,0.16995235591855234,7.0,1.1124195332266276,0,1.0592808723449707,2,50,784,0.pixels,0,"[[0.1        0.1        0.1        ... 0.1        0.1        0.1       ]
 [0.1        0.1        0.         ... 0.         0.         0.        ]
 [0.1        0.1        0.1        ... 0.         0.1        0.1       ]
 ...
 [0.1        0.1        0.1        ... 0.         0.         0.        ]
 [0.1        0.1        0.1        ... 0.         0.         0.        ]
 [0.         0.         0.1        ... 0.         0.         0.09159847]]",[],convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
1,1.0432591577939478,4.065969893386718,0.21785393913516646,2.0,1.1124195332266276,0,1.0592808723449707,2,50,784,0.pixels,0,"[[0.  0.  0.  ... 0.1 0.  0. ]
 [0.  0.  0.  ... 0.1 0.  0. ]
 [0.  0.  0.  ... 0.1 0.  0.1]
 ...
 [0.1 0.1 0.1 ... 0.  0.1 0.1]
 [0.1 0.1 0.1 ... 0.1 0.1 0.1]
 [0.  0.  0.  ... 0.1 0.1 0. ]]",,convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
0,1.252072554748135,5.030962561987891,0.14785717082866423,7.0,1.1902189788648938,0,1.043740119311201,2,50,2000,1.conv1,0,"[[-0.04980727 -0.05910956 -0.01762294 ... -0.03902503 -0.02549325
  -0.06106337]
 [ 0.07181207  0.04629912  0.09497876 ...  0.06663587  0.06289058
   0.06178056]
 [ 0.17254679  0.1929477   0.21715926 ...  0.19171775  0.1864163
   0.19639618]
 ...
 [ 0.10390892  0.08342235  0.07508176 ...  0.11130059  0.10276226
   0.09824681]
 [ 0.00662291 -0.04884617 -0.01306513 ... -0.01948707 -0.02427355
  -0.03028401]
 [-0.12194322 -0.12800487 -0.10505983 ... -0.12608103 -0.11084851
  -0.10222415]]","[[ 0.02247727  0.00502088  0.01220682 ...  0.00201647 -0.01446583
  -0.01681553]
 [-0.01953223 -0.02148057  0.0005754  ... -0.00038911  0.01997886
  -0.01042563]
 [ 0.0078152   0.02313342  0.00338105 ... -0.00684595  0.00498423
   0.00367511]
 ...
 [-0.00607812  0.0003974   0.01461571 ... -0.00900044 -0.01193846
   0.01025451]
 [ 0.01562827 -0.01804891 -0.01949279 ... -0.00293428  0.00835007
   0.01173706]
 [-0.00111019 -0.00603748 -0.01107308 ...  0.0055095   0.00858332
  -0.00453584]]",convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
1,1.1341889645356122,3.4748628182551555,0.21211635386791783,2.0,1.1902189788648938,0,1.043740119311201,2,50,2000,1.conv1,0,"[[-0.0334661  -0.03626258 -0.03848716 ... -0.00806076 -0.00549045
  -0.02229374]
 [ 0.01270322  0.03114798  0.02222011 ...  0.0277533  -0.00434191
  -0.02880121]
 [ 0.07458848  0.07447492  0.07186412 ...  0.05123498  0.06613703
   0.0774677 ]
 ...
 [ 0.03119363  0.03221965  0.02763928 ...  0.02409836  0.0469093
   0.05171853]
 [ 0.02072484  0.01992546  0.0249178  ...  0.00050827  0.02101345
   0.06529357]
 [-0.04020476 -0.03260179 -0.04578091 ... -0.00123227  0.01124975
  -0.02220763]]",,convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
0,1.2658973156325968,4.97816778747606,0.14662963423575584,7.0,1.2017610384746655,0,1.0432841828906954,2,50,2000,2.norm,0,"[[ 0.04047944  0.03303703  0.07557264 ...  0.05594934  0.06630254
   0.03035401]
 [ 0.22866785  0.2023818   0.24793851 ...  0.22074756  0.21461263
   0.21409925]
 [ 0.11573866  0.13871546  0.15911443 ...  0.13646623  0.12716193
   0.13897096]
 ...
 [-0.0161326  -0.03093835 -0.04252129 ... -0.00542713 -0.01237171
  -0.01579611]
 [-0.13334178 -0.19341891 -0.15606432 ... -0.1650411  -0.16633674
  -0.1739227 ]
 [-0.09717395 -0.09959485 -0.07429303 ... -0.09973348 -0.0817085
  -0.07053983]]","[[ 0.02247727  0.00502088  0.01220682 ...  0.00201647 -0.01446583
  -0.01681553]
 [-0.01953223 -0.02148057  0.0005754  ... -0.00038911  0.01997886
  -0.01042563]
 [ 0.0078152   0.02313342  0.00338105 ... -0.00684595  0.00498423
   0.00367511]
 ...
 [-0.00607812  0.0003974   0.01461571 ... -0.00900044 -0.01193846
   0.01025451]
 [ 0.01562827 -0.01804891 -0.01949279 ... -0.00293428  0.00835007
   0.01173706]
 [-0.00111019 -0.00603748 -0.01107308 ...  0.0055095   0.00858332
  -0.00453584]]",convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
1,1.1438102622995308,3.4817911504273082,0.20705634488127475,2.0,1.2017610384746655,0,1.0432841828906954,2,50,2000,2.norm,0,"[[ 2.37552932e-02  2.03646128e-02  1.62348590e-02 ...  4.39469344e-02
   5.49652181e-02  3.15131300e-02]
 [ 1.64062621e-01  1.81107011e-01  1.73767234e-01 ...  1.68898075e-01
   1.42761014e-01  1.18755219e-01]
 [ 3.19924626e-02  3.08404686e-02  2.76301029e-02 ...  1.15363511e-02
   2.36342154e-02  4.18149196e-02]
 ...
 [-1.11016835e-01 -1.07215586e-01 -1.13936339e-01 ... -1.14630872e-01
  -9.32030519e-02 -9.27468669e-02]
 [-9.34279627e-02 -9.07610988e-02 -8.79768801e-02 ... -1.06712284e-01
  -8.75110923e-02 -4.77199493e-02]
 [-2.42656024e-02 -1.94515394e-02 -3.16338259e-02 ... -8.62640495e-05
   1.66485090e-02 -1.56439688e-02]]",,convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
0,1.348513699379073,4.274308281456205,0.13623461155757224,7.0,1.2463350847707682,0,1.0400044918060303,2,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",[],convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
1,1.1585502450278944,3.287851425490734,0.20480887729369485,2.0,1.2463350847707682,0,1.0400044918060303,2,50,2000,3.relu,0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",,convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
0,1.2631953019260784,4.180983288855254,0.161498255094824,7.0,1.1780889796877192,0,1.0484256744384766,2,50,2000,4.conv2,0,"[[4.4288933e-22 4.4288933e-22 4.4288933e-22 ... 4.4288933e-22
  4.4288933e-22 4.4288933e-22]
 [4.4288933e-22 4.4288933e-22 4.4288933e-22 ... 4.4288933e-22
  4.4288933e-22 4.4288933e-22]
 [4.4288933e-22 4.4288933e-22 4.4288933e-22 ... 4.4288933e-22
  4.4288933e-22 4.4288933e-22]
 ...
 [1.1826223e-03 1.1826223e-03 1.1826223e-03 ... 1.1826223e-03
  1.1826223e-03 1.1826223e-03]
 [1.1826223e-03 1.1826223e-03 1.1826223e-03 ... 1.1826223e-03
  1.1826223e-03 1.1826223e-03]
 [1.1826223e-03 1.1826223e-03 1.1826223e-03 ... 1.1826223e-03
  1.1826223e-03 1.1826223e-03]]",[],convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
1,1.103726671926726,3.3928790886533187,0.23006973355273536,2.0,1.1780889796877192,0,1.0484256744384766,2,50,2000,4.conv2,0,"[[4.4288933e-22 4.4288933e-22 4.4288933e-22 ... 4.4288933e-22
  4.4288933e-22 4.4288933e-22]
 [4.4288933e-22 4.4288933e-22 4.4288933e-22 ... 4.4288933e-22
  4.4288933e-22 4.4288933e-22]
 [4.4288933e-22 4.4288933e-22 4.4288933e-22 ... 4.4288933e-22
  4.4288933e-22 4.4288933e-22]
 ...
 [1.1826223e-03 1.1826223e-03 1.1826223e-03 ... 1.1826223e-03
  1.1826223e-03 1.1826223e-03]
 [1.1826223e-03 1.1826223e-03 1.1826223e-03 ... 1.1826223e-03
  1.1826223e-03 1.1826223e-03]
 [1.1826223e-03 1.1826223e-03 1.1826223e-03 ... 1.1826223e-03
  1.1826223e-03 1.1826223e-03]]",,convnet4,exemplar,bn,0.9661,1.0,0.1,0.1,1,False
